NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Study Type,Study Design,Start Date
NCT03725371,Investigation of Psychophysiological Correlation of Aggression and Response to Aversive Stimuli,https://clinicaltrials.gov/study/NCT03725371,COMPLETED,"This study investigates the psychophysiological correlations of aggression and response to aversive stimuli in a population of 133 children clinically diagnosed with conduct disorder (CD) and/or attention-deficit/hyperactivity disorder (ADHD). Data was gathered about participants' level of aggression through the Reactive-Proactive Aggression Questionnaire (RPQ). The stimuli that were presented to the participants included 1) a loud sound, 2) threatening photographs from the International Affective Picture System (IAPS), and 3) the Trier Social Stress Task (TSST). Participants' psychophysiological features of heart rate and galvanic skin conductance were measured and analyzed in relation to their RPQ scores and clinical diagnosis.",NO,Conduct Disorder|ADHD|Oppositional Defiant Disorder,OTHER: No intervention was administered for the purpose of this study.,Yale-NUS College,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2011-08
NCT00252278,Effect of Atomoxetine on ADHD-Related Insomnia in Children and Adolescents,https://clinicaltrials.gov/study/NCT00252278,UNKNOWN,"Children and adolescents with Attention-Deficit/Hyperactivity Disorder (ADHD) very commonly experience difficulty in initiating and maintaining sleep. Studies have shown that daytime sleepiness resulting from insufficient sleep can affect attention and learning. Therefore, treating insomnia in children with ADHD may not only improve sleep, but it could potentially improve ADHD symptoms as well.

The main purpose of this study is to examine the effects of atomoxetine on ADHD-related insomnia. Atomoxetine (Strattera®) is a non-stimulant drug used to treat ADHD symptoms in both children and adults, and there is evidence that it may also have a positive effect on sleep in children with ADHD. During the study, participants will receive either atomoxetine or placebo for a period of four weeks. We expect that the effects of atomoxetine on sleep will differ from those of placebo, with atomoxetine having a greater effect on improving sleep difficulties.",NO,Attention-Deficit/Hyperactivity Disorder (ADHD)|Insomnia,DRUG: atomoxetine,Rhode Island Hospital,Eli Lilly and Company,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE|Primary Purpose: TREATMENT,2005-11
NCT00734578,Efficacy and Safety of SPD503 in Combination With Psychostimulants,https://clinicaltrials.gov/study/NCT00734578,COMPLETED,"The purpose of this study is to assess the efficacy and safety of SPD503 in subjects with ADHD when co-administered with psychostimulants in children and adolescents aged 6-17 years with a diagnosis of ADHD with a sub-optimal, partial response to stimulants.",YES,ADHD,DRUG: SPD503-AM|DRUG: SPD503-PM|DRUG: Placebo,Shire,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2008-09-02
NCT00181571,A Double-Blind Comparison of Concerta and Placebo in Adults With Attention Deficit Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT00181571,COMPLETED,"This is a double-blind, placebo-controlled study using daily doses of up to 1.3 mg/kg/day of Concerta in the treatment of adults with the DSM-IV diagnosis of attention deficit hyperactivity disorder (ADHD) (childhood onset). We hypothesize ADHD symptomatology in adults with DSM-IV ADHD will be responsive to Concerta treatment and Concerta-associated response of ADHD symptomatology in adults will be sustained over time.",NO,ADHD,DRUG: methylphenidate HCl (Concerta)|DRUG: Placebo,Massachusetts General Hospital,"McNeil Consumer & Specialty Pharmaceuticals, a Division of McNeil-PPC, Inc.",INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2003-06
NCT00735371,Efficacy and Safety of Lisdexamfetamine Dimesylate (LDX) in Adolescents With Attention-Deficit/Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT00735371,COMPLETED,The study will evaluate the efficacy of LDX treatment group compared to placebo on the change from Baseline ADHD-RS-IV score at endpoint.,YES,Attention Deficit Hyperactivity Disorder (ADHD),DRUG: LDX 30 mg|DRUG: LDX 50 mg|DRUG: LDX 70 mg|DRUG: Placebo,Shire,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2008-10-08
NCT06305078,Personalized Attention-Deficit/Hyperactivity Disorder (ADHD) Medication Experiment Study,https://clinicaltrials.gov/study/NCT06305078,RECRUITING,"The primary goal of the project is to test personalized medication experiments to inform decisions about future medication use. Our central hypothesis is that our intervention will lead to within subject increases in adolescent involvement in decision making and decreases in uncertainty about future medication use. The investigators view this open label trial as a pilot study to test the feasibility, acceptability, and preliminary efficacy of the medication experiment intervention and therefore warrants further testing in a future larger trial.",NO,Attention Deficit Hyperactivity Disorder,OTHER: Personalized ADHD Medication Experiment,"Children's Hospital Medical Center, Cincinnati",,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2023-11-10
NCT00763971,"Randomized, Double-blind Safety and Efficacy Study of Lisdexamfetamine Dimesylate (LDX) in Children and Adolescents Aged 6-17",https://clinicaltrials.gov/study/NCT00763971,COMPLETED,The main aim of this study is to see if giving LDX to children and adolescents aged 6-17 years with ADHD decreases symptoms of ADHD.,YES,ADHD,DRUG: Lisdexamfetamine Dimesylate (LDX)|DRUG: Methylphenidate Hydrochloride|DRUG: Placebo,Shire,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2008-11-17
NCT06109337,Immunoprofilling of Peripheral Blood Mononuclear Cells in Children With Attention Deficit/Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT06109337,RECRUITING,"The goal of this observational study is to learn about The immune cell landscape of peripheral blood mononuclear cells in children with ADHD compared to typically developing controls. The main question it aims to answer are: 1.Testing the differences in immune cell subpopulations, protein expression and signaling pathways and cell subsets between two groups 2. Exploring the correlations between immune function in PBMC and resting-state brain functional networks in children with ADHD.

Participants will be taken peripheral blood about 5 ml , cognitive assessment including Intelligence testing, Stroop color-word test and Trail making test, clinical interview and brain structural and functional MRI.",NO,ADHD|Immune System|Clinical Syndrome,DIAGNOSTIC_TEST: drow blood,First Affiliated Hospital of Zhejiang University,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2023-12-04
NCT00697515,Safety and Efficacy Workplace Environment Study of Lisdexamfetamine Dimesylate (LDX) in Adults With Attention-Deficit Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT00697515,COMPLETED,To evaluate the efficacy of LDX compared to placebo in adults with ADHD in the adult workplace environment (AWE) setting,YES,ADHD,DRUG: LDX|DRUG: Placebo,Shire,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2008-07-18
NCT03480737,rTMS and EF Training for Working Memory Deficits in Adolescent Psychopathology,https://clinicaltrials.gov/study/NCT03480737,UNKNOWN,"Executive functioning (EF) deficits are a core, transdiagnostic feature of psychopathology and one of the strongest predictors of clinical and functional outcomes, yet there remains a dearth of treatments available for EF deficits. EF is a collection of cognitive control processes that includes working memory (i.e., maintain/manipulate data not perceptually present), inhibition (i.e., inhibit/control of attention, thoughts, behaviors) and flexibility (i.e., shift flexibly between tasks/sets). These EF subdomains are subserved by a network (i.e., cognitive control network) of frontal (e.g., dorsolateral prefrontal cortex \[DLPFC\]), parietal and subcortical regions, with hypoactivation in such regions often underlying EF deficits. There is a recent call in psychiatry to develop experimental therapeutics that target anomalous neural systems underlying symptomology. Repetitive transcranial magnetic stimulation (rTMS) is a therapeutic, non-invasive method of cortical excitability modulation. High frequency rTMS to the left DPLFC has an activating effect on the cognitive control network, with initial research in adults finding a subsequent enhancing effect on working memory, inhibition, and flexibility. rTMS represents a very promising potential tool to target EF deficits in psychopathology.",NO,ADHD With Working Memory Deficits,"DEVICE: Magstim Super Rapid2 stimulator, 10 Hz condition|DEVICE: Magstim Super Rapid2 stimulator, Sham condition|DEVICE: Magstim Super Rapid2 stimulator, iTBS condition",Bradley Hospital,Thrasher Research Fund|Rhode Island Foundation,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2019-11-01
NCT00446537,Procedural Learning in Participants With ADHD,https://clinicaltrials.gov/study/NCT00446537,UNKNOWN,"Skill acquisition refers to the process of improvement of performance following practice experience. This process is the basis for generation of a long-lasting memory. Individuals with Attention Deficit Hyperactivity Disorder (ADHD) have been shown to be impaired on some performance aspects of previously learned skills, an impairment that is often ameliorated, at least temporarily, by psychostimulant medication (the standard therapy in ADHD). The proposed study aims to define the course of learning and of generation of long-term memory consolidation in individuals with ADHD, and to essay the effectiveness of psychostimulant medication on both the learning and retention of the skills.",NO,Attention Deficit Hyperactivity Disorder,PROCEDURE: Methylphenidate,Shaare Zedek Medical Center,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE|Primary Purpose: ",
NCT00001915,Study of Attention Deficit/Hyperactivity Disorder Using Transcranial Magnetic Stimulation,https://clinicaltrials.gov/study/NCT00001915,COMPLETED,"Attention deficit/hyperactivity disorder is a condition characterized by a decreased attention span, hyperactivity, and/or impulsiveness inappropriate for a certain age.

Typically, young children have what are known as subtle neurological signs. These are involuntary movements of one part of the body that occur while the child is making a voluntary movement of another part of the body. This is referred to as synkinesis, or overflow movements. These overflow movements disappear during normal development and are usually gone by the age of 10. However, in children with ADHD these overflow movements tend to be more intense and last long after the age of 10. This leads researchers to believe there is an abnormality in the maturation and development of the brain areas associated with motor activity in children with ADHD.

Transcranial Magnetic Stimulation (TMS) is a non-invasive technique that gives information about brain function. It is very useful when studying areas of the nervous system related to motor activity (motor cortex, corticospinal tract, and corpus callosum). A magnetic signal given from a special instrument held close to the patient's head stimulates a small area of the brain that controls a few muscles (for example, the muscles that control one finger). Doctors put electrodes (small pieces of metal taped to areas of the body) over the muscle to measure the electrical activity the muscle produces when it makes a movement. When the magnetic signal activates those muscles the electrodes pick up and record the electrical activity of the movement that the muscles make in response to the magnetic signal.

Researchers will study normal children and those diagnosed with ADHD using TMS to find out if the clinical abnormalities of ADHD are associated with a delay or abnormality in maturation of areas of the nervous system responsible for motor activity (motor cortex and corticospinal tract).",NO,Attention Deficit Disorder With Hyperactivity,,National Institute of Neurological Disorders and Stroke (NINDS),,OBSERVATIONAL,Observational Model: |Time Perspective: p,1999-01
NCT03905785,Effectiveness of Parenting Intervention for Improving Child Mental Health,https://clinicaltrials.gov/study/NCT03905785,COMPLETED,"In this study, effectiveness of a group parenting intervention was assessed in a community setting, for its impact on child behaviour problems and parental mental health.",NO,Behavior Problem|Conduct Disorders in Children|Mental Health Wellness 1,BEHAVIORAL: Samarthan,NMP Medical Research Institute,"Warwick Research Services|Balavikasa Educational Academy, India",INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2018-02-12
NCT04298437,Addressing Depression and Positive Parenting Techniques (ADAPT),https://clinicaltrials.gov/study/NCT04298437,RECRUITING,"Children with emotional and behavioural difficulties (EBD) experience disproportionate social, family and academic impairment and have between two to five times increased likelihood of developing an anxiety disorder, mood disorder or other severe mental illness in adolescence and adulthood. There is a close association between parental depression and the emergence and maintenance of childhood EBD that is likely bidirectional. Parents of children with EBD experience disproportionate stress, increasing their risk for depression; yet chronic and untreated parental depression is associated with the emergence of child EBD in the first place. Therefore, designing targeted and effective assessment and treatment for parents of children with EBD that take into account parents' depression is necessary. Of pressing concern, first-line Behavioral Parent Training (BPT) treatments for parents of children with EBD are not tailored to parent's mental health needs, which may be why upwards of 40 percent of parents and children treated in these programs fail to sufficiently benefit. Existing research highlights emotional and cognitive factors that may differentiate depressed parents from non-depressed parents that may be treatment targets to improve outcomes for depressed parents and children.

The main aim of the proposed project is to evaluate the feasibility and acceptability of a novel targeted treatment for depressed parents of children with EBD, along with adherence to study protocol. The investigators will use the results of the pilot study to make key modifications to study procedures and the treatment itself to increase the success of a future randomized controlled trial (RCT) to test treatment efficacy.

The investigators hypothesize that:

1. Recruitment will be feasible.
2. The intervention will be acceptable, and there will be a high rate of adherence to study protocol.",NO,Depression|Emotional Problem|Disruptive Behavior Disorder|Attention Deficit Hyperactivity Disorder|Conduct Disorder|Oppositional Defiant Disorder|Behavior Problem,BEHAVIORAL: Addressing Depression and Positive Parenting Techniques (ADAPT) Program,Centre for Addiction and Mental Health,Women's College Hospital,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-05-01
NCT03175185,Psychiatric Assessment Of Parents Of Children With ADHD,https://clinicaltrials.gov/study/NCT03175185,UNKNOWN,The aim of this study is to carry out a psychological evaluation for the parents of children diagnosed with attention deficit hyperactivity disorder (ADHD) and parents of children without ADHD as control to detect any psychological problems in those of children with ADHD . These problems may be a precipitating factor to cause ADHD in their child or have a genetic predisposition to be passed to their children. On the other hand these psychological problems may be caused by the difficulties they encounter in raising their ADHD child. The exact relation needs more researches and to be more investigated.,NO,Attention Deficit Hyperactivity Disorder,,Assiut University,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-11
NCT02144415,A Study to Evaluate the Abuse Potential of EB-1020 Immediate-Release in Healthy Recreational Stimulant Users,https://clinicaltrials.gov/study/NCT02144415,COMPLETED,"This single-center study will be a single-dose, randomized, double-blind, placebo- and active-controlled crossover study with a single inpatient treatment visit. The abuse potential of single oral doses of EB-1020 IR (400 mg, 800 mg) will be compared with that of placebo and d-amphetamine (20 mg, 40 mg; active control) in healthy recreational stimulant users. Subjects will participate in a medical Screening visit (Visit 1), one 4-day inpatient Qualification Phase (Visit 2), one 11-day inpatient Treatment Phase (Visit 3), and a safety Follow-up visit (Visit 4).",NO,Healthy Volunteers|Drug Users,DRUG: EB-1020 400 mg|DRUG: EB-1020 800 mg|DRUG: lisdexamfetamine 150 mg|DRUG: d-amphetamine 40 mg|DRUG: Placebo,"Neurovance, Inc.",,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2014-05
NCT05803252,Videoconferencing-based Focused Acceptance and Commitment Therapy for Parents of SHCN Children,https://clinicaltrials.gov/study/NCT05803252,RECRUITING,"The purpose of the proposed non-randomized waitlist-controlled design study is to evaluate the feasibility, acceptability, and potential effectiveness of using a Videoconferencing-based Individual Focused Acceptance and Commitment Therapy (FACT) approach to enhance the mental well-being of parents of children with special healthcare needs (SHCN) over a three-month period after the intervention has taken place.",NO,Neurodevelopmental Disorders|Attention Deficit Hyperactivity Disorder|Autism Spectrum Disorder|Development Delay|Chronic Disease,BEHAVIORAL: Focused Acceptance and Commitment Therapy|OTHER: Waitlist Control,Chinese University of Hong Kong,Hong Kong Christian Service|Hong Kong Federation of Youth Groups|Hong Kong Young Women's Christian Association|Yang Memorial Methodist Social Service,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2023-03-15
NCT05354232,Home-based Transcranial Direct Current Stimulation (tDCS) for Treatment of Attention-deficit/Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT05354232,RECRUITING,"The investigators are investigating whether home-based tDCS over the course of four weeks can improve ADHD symptom severity and improve dysexecutive functioning (cognitive control). Further, the investigators are investigating whether there is a dose-dependent response to tDCS.",NO,Attention Deficit Disorder|Attention Deficit Disorder With Hyperactivity,DEVICE: 2 mA transcranial direct current stimulation (tDCS)|DEVICE: 1 mA transcranial direct current stimulation (tDCS)|DEVICE: Sham transcranial direct current stimulation (tDCS),Massachusetts General Hospital,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-07-01
NCT01019252,Skills Training for Adolescents With ADHD,https://clinicaltrials.gov/study/NCT01019252,COMPLETED,"The proposed study will be an initial test of a cognitive-behavioral intervention for adolescents with ADHD who are receiving medication treatment. It is based on our successful work with adults with ADHD who have been treated with medicines but are still having symptoms. It involves learning skills for organization and planning, attention, and mood.",YES,Attention Deficit Hyperactivity Disorder,BEHAVIORAL: Cognitive Behavioral Therapy (CBT),Massachusetts General Hospital,National Institute of Mental Health (NIMH),INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2009-10
NCT01506232,"Brain Activity Flow Patterns Analysis Using Evoked Response Potentials in Youth With ADHD, Bipolar Disorder, or Autism Spectrum Disorders: A Preliminary Study",https://clinicaltrials.gov/study/NCT01506232,TERMINATED,"The study aims to evaluate whether or not an EEG (a type of brain scan) is useful in diagnosing youth with either ADHD, BPD, ASD. Youth with ADHD, BPD, ASD, and healthy controls (without ADHD, BPD, and ASD) will undergo an EEG, and the results will be analyzed using brain activity flow pattern analysis (BAFPA). Twenty subjects with each disorder and twenty without any of the disorders under study (controls) will be evaluated. All subjects will be comprehensively assessed with structured diagnostic interviews and neuropsychological testing. All EEG analyses will be conducted under blind conditions. Conditional probability and receiver operating characteristic (ROC) analyses will examine the diagnostic utility of the EEG scan, using the clinical diagnosis of ASD as the gold standard.",NO,Attention Deficit Hyperactivity Disorder|Autism Spectrum Disorder|Bipolar Disorder,,Massachusetts General Hospital,ElMindA Ltd,OBSERVATIONAL,Observational Model: |Time Perspective: p,2011-03
NCT01124032,A Double Blind Crossover Study on the Effect of Methylphenidate on Decision-making Ability of Adults With ADHD Compared to Healthy Adults,https://clinicaltrials.gov/study/NCT01124032,UNKNOWN,"The study assesses the effect of Ritalin on working memory,attention,and decision-making measures in adults with ADHD and compares it to its effect on healthy adults, in a double-blind crossover design.We hypothesize that Ritalin will result in better performance in all measures,and that the improvement will be greater in the ADHD group.",NO,ADHD,DRUG: methylphenidate,Shalvata Mental Health Center,"Technion, Israel Institute of Technology",INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2010-05
NCT01769300,Improving the Medication Management of Patients With Attention-Deficit Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT01769300,WITHDRAWN,"The specific aim of this cluster-randomized (site) comparative effectiveness research study is to determine whether children who are (1) 5-12 years of age, (2) cared for in ePROS practices or clinics using an electronic health record (EHR), (3) have attention-deficit hyperactivity disorder (ADHD), and (4) are to receive treatment with stimulant medication for the first time in these practices, have superior clinical outcomes if their clinicians have access to an EHR-guided clinical decision support system (intervention group) than if their clinicians have no such access (control group).",NO,Attention Deficit-hyperactivity Disorder,BEHAVIORAL: Clinical decision support for medication titration,American Academy of Pediatrics,"University of Colorado, Denver|QED Clinical, Inc|Children's Hospital of Philadelphia",INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: SINGLE (PARTICIPANT)|Primary Purpose: HEALTH_SERVICES_RESEARCH,2013-01
NCT06130852,Effects of Behavioral Training Groups for Parents of Children With Attention Deficit Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT06130852,COMPLETED,The therapeutic care of Attention Deficit Hyperactivity Disorder (ADHD) children focuses on the child but also on his environment and in particular his family. This type of approach has long existed in Anglo-Saxon countries. This project aims to collect preliminary data to build study to valid efficacy of a parenting skills program for parents of ADHD children in France and on the child's hyperactivity.,NO,Deficit; Attention,BEHAVIORAL: Behavioral Parent Training,"University Hospital, Toulouse",,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-09-04
NCT01199315,"A Study to Assess the Safety, Tolerability and Pharmacokinetics of Modified-Release Formulations of AZD1446 After Oral Single and Repeated Doses",https://clinicaltrials.gov/study/NCT01199315,COMPLETED,"The purpose of this study is to assess safety, tolerability and pharmacokinetics of AZD1446 in young and elderly healthy Japanese volunteers.",NO,Healthy,DRUG: AZD1446|DRUG: Placebo,AstraZeneca,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: BASIC_SCIENCE",2010-09
NCT05651685,Treatment Recommendations for Patients With ADHD TDApp2,https://clinicaltrials.gov/study/NCT05651685,RECRUITING,The purpose of this study is to compare the recommendations made by TDApp2 with those by relevant clinical practice guidelines in children/adolescents with ADHD.,NO,Attention Deficit Disorder With Hyperactivity,,Universitat de Girona,Institut d'Assistència Sanitària,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-12-12
NCT05777785,A Novel Device for the Management of ADHD,https://clinicaltrials.gov/study/NCT05777785,COMPLETED,"This is a 2-months study, where eligible ADHD adult participants will be provided with personalized VIZO glasses.",NO,ADHD,DEVICE: VIZO Glasses,VIZO Specs Ltd,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-04-01
NCT01967485,Text Messaging Adherence to Stimulant Medication,https://clinicaltrials.gov/study/NCT01967485,COMPLETED,The purpose of this study is to determine if an individualized text messaging intervention for the parents of children with Attention Deficit/Hyperactivity Disorder is effective in improving medication adherence and disease management.,NO,Attention Deficit Hyperactivity Disorder,OTHER: Text- Messaging|OTHER: Treatment as usual,Massachusetts General Hospital,American Academy of Child Adolescent Psychiatry.,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2014-01
NCT02064452,Evaluating an Online Parenting Support System Disseminated by Pediatric Practices,https://clinicaltrials.gov/study/NCT02064452,COMPLETED,"This study will experimentally evaluate an internet-based version of the Triple P Positive Parenting Program, the Triple P Online System (TPOS), which presents the Triple P content in an interactive, video-enriched, and personalized format with 3-levels of flexible dosage, and will compare it against usual community services. Thirty pediatric clinics involving 100 practitioners in 9 counties across western Washington will be recruited and randomized to receive (a) access for their patients to the Triple P Online System and training in how to effectively promote TPOS and advise parents on their children's behavior problems or (b) Usual Care Community-Waitlist Control, in which parents will be assisted with an appropriate referral for services in the community.",NO,Child Disruptive Behavior Disorders|Oppositional Defiant Disorder|Conduct Disorder|Attention Deficit Hyperactivity Disorder,OTHER: Triple P Online System|BEHAVIORAL: Placebo Comparator,Oregon Research Institute,National Institute on Drug Abuse (NIDA),INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2014-05
NCT01682915,Structural and Functional Connectivity of Frontostriatal and Frontoparietal Networks as Endophenotypes of ADHD,https://clinicaltrials.gov/study/NCT01682915,COMPLETED,"Attention deficit/hyperactivity disorder (ADHD) is a common, impairing, clinically and genetically heterogeneous neuropsychiatric disorder with lifelong executive dysfunctions. The ultimate goal of this 3-year case-control imaging genomic study with unaffected siblings and typically developing (TD) children as controls is to identify useful imaging endophenotype for ADHD by investigating the structural connectivity, as assessed by diffusion spectrum imaging (DSI), and functional connectivity, as assessed by resting-state fMRI (rsfMRI) of brain regions related to cognitive/executive controls with regards to the ADHD status and the presence of dopamine transporter gene variants (DAT1).

Specific Aims:

1. to validate the executive functions, visuospatial memory, and structural and functional connectivity in frontostriatal, and frontoparietal circuitries as effective neurocognitive endophenotypes;
2. to correlate the data from structural and functional connectivity, neuropsychology, and ADHD core symptoms stratifying by the presence of ADHD, proband-unaffected sibling dyads, and the presence of DAT1 variant; and
3. To investigate reported candidate genes, in addition to DAT1 variant, related to dopamine and noradrenergic neurotransmitter systems in the association with neurocognitive endophenotypes such as DRD1, DRD2, DRD4, DRD5, DBH, MAO-A, ADRA2A, ADRA2C, NET, and COMT.",NO,Attention Deficit/Hyperactivity Disorder,,National Taiwan University Hospital,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2012-08-01
NCT01552915,Effectiveness of Vyvanse Compared to Concerta in Adolescents With Attention-deficit/Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT01552915,COMPLETED,The purpose of this study is to determine effectiveness of Vyvanse compared to Concerta in adolescents with Attention-deficit/Hyperactivity Disorder (ADHD).,YES,Attention-deficit/Hyperactivity Disorder,DRUG: Lisdexamfetamine dimesylate|DRUG: Methylphenidate Hydrochloride|DRUG: Placebo,Shire,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2012-04-17
NCT03680885,Validating a New Non-invasive Approach to Testing Lidocaine Effectiveness,https://clinicaltrials.gov/study/NCT03680885,COMPLETED,This work will assess the reliability of a simple painless test for the effectiveness of the commonly used local anesthetic lidocaine,NO,ADHD|Controls,DRUG: Lidocaine gel|DRUG: Placebo|DRUG: Injected lidocaine,"PhenoSolve, LLC",Jacobi Medical Center,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: HEALTH_SERVICES_RESEARCH",2019-08-01
NCT02473185,"Effects of Expectation, Medication and Placebo on Objective and Self-rated Performance During the QbTest",https://clinicaltrials.gov/study/NCT02473185,COMPLETED,"Aim: The purpose of the study is to examine the effects of medication, placebo and expectation on objective and self-rated performance of ADHD core signs during the Quantified Behavior Test in patients with untreated ADHD.

Subjects: Participants are 40 consecutive patients remitted to a neuropsychiatric investigation at the Dependence Clinic Västmanland, Västerås, Sweden.

Method: The study is a double-blind, randomized, placebo-controlled, cross-over study. The study is taken place during four hours on two investigating days, separated by a 4 days wash-out period.

All patients participate on two occasions: In one session they receive the Methylphenidate (MPH) condition, and in the other session they receive the placebo condition. MPH and placebo conditions are counterbalanced across subjects such that half of the participants receive MPH first, and the other half of the participants receive placebo first. Neither the participant nor the research assistant is aware when the participant receive the MPH condition or the placebo condition.

On each investigating day the participant accomplish Questionnaires (Visual Analogical Scales) concerning; (a) expectation, (b) self-rated performance, (c) exhausting exercise, (d) perceived help from the pill and (e) self-rated symptoms. In addition the participant completed A Quick Test of Cognitive Speed (AQT) and two separate Quantified Behavior Test Plus (QbTest) without medication vs MPH/Placebo. QbTest aims to provide objective information regarding core-symptoms of ADHD; hyperactivity on the basis of motor-activity measured with the camera, and inattention and impulsivity on basis of the CPT-test.

The Quantized Behavior Test (QbTest) can be included as part of an neuropsychiatric investigation. QbTest measures the three core signs of ADHD, hyperactivity, inattention and impulsivity. QbTest is a computer-based test that combines a test of attention ability with a movement analysis based on an infrared measurement system. The test results are presented in a report and compared with norm data fromm a group of the same sex amd age who do not have ADHD.",NO,Attention Deficit Hyperactivity Disorder,DRUG: Methylphenidate,Region Västmanland,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2015-09
